load_date,vessel,imo,vessel_class,origin,destination,destination_country,destination_continent,dest_region,kbbl,status,suez_source
2026-08-15,Mount Vision,1043035,VLCC,Yanbu,Ulsan,South Korea,Asia,Asia,1989.4,Scheduled,yanbu_ex_ain
2026-08-15,Shalamar,9336842,LR2,Yanbu,Karachi,Pakistan,Asia,Asia,706.0,Scheduled,yanbu_ex_ain
2026-08-18,Maran Leo,9602473,VLCC,Yanbu,Eastern Asia,,Asia,Asia,2139.4,Scheduled,yanbu_ex_ain
2026-08-21,Dht Stallion,9813448,VLCC,Sidi Kerir,Eastern Asia,,Asia,Asia,2122.0,Scheduled,sidi_kerir
2026-08-21,Quantum Harmony,9418054,VLCC,Yanbu,West Coast India,India,Asia,Asia,2142.9,Scheduled,yanbu_ex_ain
2026-08-23,Sanmar Herald,9330563,VLCC,Sidi Kerir,Sikka,India,Asia,Asia,2138.4,Scheduled,sidi_kerir
2026-08-25,He Ping Hai,9614048,VLCC,Sidi Kerir,China,China,Asia,Asia,2162.0,Scheduled,sidi_kerir
2026-07-23,Dht Gazelle,1055155,VLCC,Yanbu Crude,Brazil,Brazil,Americas,Other,1081.9,In Transit,yanbu_ex_ain
2026-08-05,Dht Gazelle,1055155,VLCC,Sidi Kerir,Brazil,Brazil,Americas,Other,612.4,In Transit,sidi_kerir
2026-08-12,Vl Bright,9926740,VLCC,Sidi Kerir,Egypt,Egypt,Africa,Other,2123.8,Loading,sidi_kerir
2026-08-20,Safeen Elizabeth,9524449,LR3,Yanbu,MED Sea,,,Other,1057.0,Scheduled,yanbu_ex_ain
2026-07-21,Alhaya,9939163,LR2,Yanbu Crude,,,,(blank),780.6,In Transit,yanbu_ex_ain
2026-07-21,Olympic Luck,9424211,VLCC,Muajjiz,,,,(blank),1200.0,In Transit,yanbu_ex_ain
2026-07-22,Ninemia,9946702,LR2,Muajjiz,,,,(blank),769.5,In Transit,yanbu_ex_ain
2026-07-25,New Discovery,9269075,LR3,Yanbu Crude,,,,(blank),1040.4,In Transit,yanbu_ex_ain
2026-08-03,Olympic Luck,9424211,VLCC,Sidi Kerir,,,,(blank),937.1,In Transit,sidi_kerir
2026-08-05,V.Glory,9849851,VLCC,Yanbu Crude,,,,(blank),1099.1,In Transit,yanbu_ex_ain
2026-08-11,C.Glory,9419620,VLCC,Muajjiz,,,,(blank),2108.0,In Transit,yanbu_ex_ain
2026-08-11,Daffodil,9239927,LR2,Yanbu Crude,,,,(blank),678.0,In Transit,yanbu_ex_ain
2026-08-12,Nordic Hawk,9749491,LR3,Sidi Kerir,,,,(blank),1064.5,In Transit,sidi_kerir
2026-08-13,Cape Ermoupolis,1064376,LR3,Sidi Kerir,,,,(blank),1061.4,Scheduled,sidi_kerir
2026-08-14,Lila Marseille,9418614,LR3,Yanbu,,,,(blank),1059.2,Scheduled,yanbu_ex_ain
2026-08-15,Plata Glory,9384590,VLCC,Yanbu,,,,(blank),2012.4,Scheduled,yanbu_ex_ain
2026-08-15,Roberta B,9563237,VLCC,Yanbu,,,,(blank),1989.1,Scheduled,yanbu_ex_ain
2026-08-16,Ghazal,9387009,VLCC,Yanbu,,,,(blank),2119.8,Scheduled,yanbu_ex_ain
2026-08-20,Front Tana,9933640,VLCC,Yanbu,,,,(blank),1997.7,Scheduled,yanbu_ex_ain
2026-08-25,Front Neiden,9877779,VLCC,Yanbu,,,,(blank),1996.4,Scheduled,yanbu_ex_ain
