date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-04-07,2026-04-04,-975.990275366555,1649.5373394003811,1900.0,-924.009724633445
2026-04-10,2026-04-07,-334.981488581336,438.6481604711654,0.0,334.981488581336
2026-04-13,2026-04-10,-1483.3414793331485,264.95642848339196,1850.0,-366.6585206668515
2026-04-16,2026-04-13,-590.8199820683598,1809.4675674931602,700.0,-109.18001793164024
2026-04-19,2026-04-16,-1422.5548127208915,1845.0570438544682,0.0,1422.5548127208915
2026-04-22,2026-04-19,-1774.766388675786,1570.8325506968206,4500.0,-2725.233611324214
2026-04-25,2026-04-22,-1536.1677925625145,2100.7992868930605,1900.0,-363.8322074374855
2026-04-28,2026-04-25,-807.1414633347334,1432.432856801023,200.0,607.1414633347334
2026-05-01,2026-04-28,-2775.9508143852877,1915.8102454803266,3396.46,-620.5091856147124
2026-05-04,2026-05-01,-1523.376429472628,922.6846678947604,2900.0,-1376.623570527372
2026-05-07,2026-05-04,-845.5246477110402,3052.6630887911338,0.0,845.5246477110402
2026-05-08,2026-05-07,-2.3420842824480497,417.4541630606994,0.0,2.3420842824480497
2026-05-11,2026-05-08,-209.81724805535993,1033.865662074804,0.0,209.81724805535993
2026-05-13,2026-05-11,-433.57690228953527,714.4555745069335,0.0,433.57690228953527
2026-05-16,2026-05-13,-1990.2527393803457,484.51753709448525,2460.0,-469.7472606196543
2026-05-19,2026-05-16,-1701.049053866539,362.0441534068317,0.0,1701.049053866539
2026-05-20,2026-05-19,-1633.154255843904,1316.4265668554679,0.0,1633.154255843904
2026-05-22,2026-05-20,-952.4403128798642,1755.9585869489667,1996.46,-1044.0196871201358
2026-05-23,2026-05-22,-1662.1210537869106,1057.2095881142466,0.0,1662.1210537869106
2026-05-25,2026-05-23,-766.509912174532,1829.0693726984896,1000.0,-233.49008782546798
2026-05-28,2026-05-25,-3003.3361784375693,2210.851942229428,0.0,3003.3361784375693
2026-05-31,2026-05-28,-1421.3403333529645,1845.4621310906225,0.0,1421.3403333529645
2026-06-03,2026-05-31,-2662.266530706629,1375.0775184716254,1986.83,675.4365307066291
2026-06-04,2026-06-03,-661.7001019269926,1152.381043083828,3999.16,-3337.459898073007
2026-06-06,2026-06-04,-1249.8518336841641,1966.321098038456,1209.65,40.20183368416406
2026-06-09,2026-06-06,-1585.9824821990119,863.6624177513886,3996.4300000000003,-2410.4475178009884
2026-06-13,2026-06-09,-1903.5011147780447,646.5367285092963,7949.2,-6045.698885221955
2026-06-16,2026-06-13,-1292.3102991758376,1017.3727815953209,3800.0,-2507.689700824162
2026-06-18,2026-06-16,-39.22822202759329,3851.631621159257,0.0,39.22822202759329
2026-06-21,2026-06-18,-3507.4788218538556,1052.1058880182534,1986.83,1520.6488218538557
2026-06-25,2026-06-21,-1613.1410070394375,2051.539659985527,3890.66,-2277.518992960562
2026-06-28,2026-06-25,-1196.6649163963746,1413.6246545190108,2120.13,-923.4650836036255
2026-07-01,2026-06-28,-1844.244576687346,2275.2659480783686,5985.99,-4141.745423312654
2026-07-04,2026-07-01,-3286.36491186585,2156.202825678258,0.0,3286.36491186585
2026-07-07,2026-07-04,-1298.2454942098207,1500.9345992053181,3996.4300000000003,-2698.1845057901796
2026-07-10,2026-07-07,-511.17999624076543,2808.196000579818,0.0,511.17999624076543
2026-07-13,2026-07-10,-3824.6394260529246,668.487018794895,2000.0,1824.6394260529246
2026-07-16,2026-07-13,-1273.5716638813528,1953.1204301345138,2600.19,-1326.6183361186472
2026-07-19,2026-07-16,-2039.8935912185298,2221.721181446487,0.0,2039.8935912185298
2026-07-22,2026-07-19,-337.3861585310067,1967.8603035621559,0.0,337.3861585310067
2026-07-25,2026-07-22,-1763.30859948231,2281.8923536080356,3799.08,-2035.77140051769
2026-07-28,2026-07-25,-2557.701028436035,1725.1283151321516,0.0,2557.701028436035
2026-07-31,2026-07-28,-1114.8651432221943,2167.278187646168,2000.0,-885.1348567778057
2026-08-03,2026-07-31,-3150.2468407471597,820.542919089602,3996.0,-845.7531592528403
2026-08-06,2026-08-03,-1919.3684682785947,1803.47832863644,1043.56,875.8084682785948
2026-08-09,2026-08-06,-2225.369976437988,2547.800231106283,3030.4,-805.030023562012
2026-08-12,2026-08-09,-1548.055323924229,3779.9263097096105,0.0,1548.055323924229
