,i_inside_mbbl,floating_mbbl,kpler_inside_mbbl,kpler_bypass_mbbl,soh_crude_mbbl,d_i_inside,d_floating,implied_offtake,kpler_residual,soh_lagged,s_t,soh_crude_mbbl_ma,kpler_inside_mbbl_ma,implied_offtake_ma,s_t_ma,kpler_residual_ma
2026-08-01,207.7140975305754,14.564,12.98892,3.4039200000000003,0.751324,0.4120445250422904,-1.8200000000000003,-0.4120445250422904,-13.40096452504229,7.846399,2.7472885250422903,2.9773148571428574,4.5041199999999995,0.06930611843989709,7.680335881560103,-4.434813881560102
2026-08-02,208.27184216900935,14.617,2.8708299999999998,9.39179,3.032606,0.5577446384339453,0.053000000000000824,-0.5577446384339453,-3.428574638433945,2.042477,13.035140638433946,3.4105442857142854,4.834188571428571,0.19841546305715138,7.968870251228564,-4.63577310837142
2026-08-03,204.1760005136944,16.577,2.0,4.07881,5.966583,-4.095841655314956,1.9600000000000009,4.095841655314956,2.095841655314956,1.979994,7.9095513446850445,4.262913285714285,5.119902857142857,0.7659180975683942,8.37939661671732,-4.353984759574463
2026-08-04,205.0765609587367,18.319,5.76933,1.06295,7.846399,0.9005604450423164,1.7419999999999973,-0.9005604450423164,-6.669890445042316,3.95646,11.551909445042314,4.800909428571429,5.400454285714285,0.41159359818963787,9.006887258953219,-4.988860687524648
2026-08-05,206.70174364473775,18.206,7.920010000000001,1.98929,2.042477,1.6251826860010397,-0.11299999999999955,-1.6251826860010397,-9.545192686001041,3.960001,5.54394968600104,4.522571857142857,5.75378,0.1612524745023945,8.47700366835475,-5.592527525497606
2026-08-06,207.04819870599567,16.198,0.0,5.44265,1.979994,0.34645506125792735,-2.007999999999999,-0.34645506125792735,-0.34645506125792735,3.94683,5.761099061257928,4.367653714285714,5.031831428571429,0.24398602529985527,8.177869117557288,-4.787845403271574
2026-08-07,207.8196703187824,15.3,0.7379500000000001,2.68433,3.95646,0.7714716127867405,-0.8979999999999997,-0.7714716127867405,-1.5094216127867406,2.000002,6.514261612786741,3.653691857142857,4.612434285714286,-0.07394533046418619,7.580457187607044,-4.686379616178472
2026-08-08,208.95503839735258,15.086,8.990410000000002,3.3632299999999997,3.960001,1.135368078570167,-0.2140000000000004,-1.135368078570167,-10.12577807857017,0.0,8.244599078570166,4.112074285714286,4.041218571428572,-0.17727726668245428,8.365787266682455,-4.218495838111026
2026-08-09,210.26504457206494,16.238,5.8564300000000005,4.22018,3.94683,1.3100061747123561,1.1519999999999992,-1.3100061747123561,-7.166436174712357,0.0,10.629016174712355,4.242677714285714,4.467732857142858,-0.28474320043651297,8.022055200436514,-4.752476057579371
2026-08-10,206.84983201547624,17.99,2.00703,1.0574400000000002,2.000002,-3.415212556588699,1.751999999999999,3.415212556588699,1.4081825565886992,0.0,1.3942294434112998,3.6760232857142854,4.468737142857144,-0.38197592882597825,7.091294928825978,-4.850713071683122
2026-08-11,206.68969561290837,19.971,1.0676500000000004,4.1159,0.0,-0.16013640256787198,1.9810000000000016,0.16013640256787198,-0.9075135974321284,,5.93676359743213,2.5551091428571424,3.797068571428572,-0.23044780773880852,6.289131236310237,-4.0275163791673805
2026-08-12,211.67004509109245,23.012,4.000000000000001,4.32206,0.0,4.980349478184081,3.0410000000000004,-4.980349478184081,-8.980349478184081,,12.343409478184082,2.2633267142857143,3.2370671428571436,-0.709757349479243,7.2604826351935285,-3.9468244923363867
2026-08-13,211.67004509109245,23.012,1.0676500000000004,3.14072,0.0,0.0,0.0,-0.0,-1.0676500000000004,,3.14072,1.9804704285714287,3.3895885714285723,-0.6602637692995391,6.886142769299539,-4.049852340728111
