date,ummSaid_0,ummSaid_1,ummSaid_10,ummSaid_11,ummSaid_19,ummSaid_2,ummSaid_20,ummSaid_21,ummSaid_22,ummSaid_23,ummSaid_24,ummSaid_25,ummSaid_26,ummSaid_27,ummSaid_28,ummSaid_29,ummSaid_3,ummSaid_30,ummSaid_31,ummSaid_32,ummSaid_33,ummSaid_34,ummSaid_35,ummSaid_36,ummSaid_37,ummSaid_38,ummSaid_4,ummSaid_5,ummSaid_6,ummSaid_7,ummSaid_8,ummSaid_9,total_build,total_draw
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,-2.429312385927566,-148.65169143251237,-121.05184778646904,142.30741761750525,1.7143514187989932,20.341360817438982,38.12587572210003,-1.9927428052292961,67.8599539657771,-161.17224555948144,53.26901005318523,33.473958741907495,-118.69918430988061,-38.163854951748945,2.587706540033978,-155.22299477392144,151.64037957459522,-149.61746837951523,-118.33369672710269,144.6885491154545,-113.79813145476376,-5.752416770700162,65.82401676928933,1.1940661828840966,135.11539883370796,-25.561899930782005,131.70317388424613,-101.91798122429991,102.8073402239769,103.09129307582364,24.88911507678889,31.114910131145894,1251.7478777446595,-1262.3654684923345
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06,11.128956057408883,0.21158422567415983,159.4052468390334,-60.06474001472252,18.89408101412124,-51.77259945299354,1.8018421366935655,2.0327765731377005,-170.86493217875375,161.17224555948144,-99.05923300667456,40.72307036690848,50.6826853383841,-20.48665286875301,0.5267576226892997,155.22299477392144,-139.06726157643146,2.694602749512531,89.81618590891767,23.88240637897578,125.39383091957168,0.2898589598484105,11.466561308933276,1.6705861747589952,5.795852149915183,22.1441859221207,-139.61038848527417,48.414098424165566,-92.04505615319871,-1.3237289360451396,-57.04621859098581,2.0895574086988344,935.4599668128723,-831.3408112638327
2026-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-12,-0.10819449595917831,-0.21158422567415983,0.0,3.260641551122768,9.880019681349978,54.009887159929434,31.19645673626315,-0.8774283829615451,46.1243934388478,-173.2268332495792,18.551939126952757,10.774510565702688,1.7740527720732497,206.02739345497739,57.01026493990104,-166.26551953640498,186.98937827095722,58.98650124646197,34.33180233232121,-138.03767363677483,-145.73370771129274,19.506424338731478,31.260231382361496,-1.23467320688162,-44.42602050496533,0.924725622847589,93.13037535191354,62.123004102033335,29.040672567476708,-49.070826401570315,81.35449249865061,-7.371861084678472,1036.2571671408753,-726.5643224367424
2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-18,0.6607926747953461,0.0,-132.8279505584624,-91.2663254777964,180.0840673080582,-160.4484753466541,37.387941331940006,-0.6514852506889729,14.15539866898545,-28.558232437554775,8.499130127072975,-110.24634284490993,52.34882908181721,4.386973979141767,-72.1275657132614,-19.851720195212867,-149.0418008798944,48.05910609132025,-108.63268404397179,-23.94207091581356,-30.424946419706625,-3.850815450908733,-97.40600526941728,1.0948430113062495,-103.09232627979695,0.8358439527691808,111.07542945121845,-56.67288993784442,80.59746205327765,-3.727980199458514,0.0,49.28755345992175,588.4733711916244,-1192.7696172213532
2026-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,5.913888051067566,0.0,96.78864830491978,110.17321427689642,0.0,156.63195143818749,31.591813455644413,2.027209405816364,-29.75544353519597,0.1338898181442346,8.951877545781855,5.730073720411077,-202.67454387527988,-98.49000158725481,134.8703691469236,-10.423492853742035,-49.13436081953085,39.877258292220475,108.63268404397179,161.30868370190498,-3.7154221695013403,2.397038875377359,27.535618025769423,0.5515433190529293,180.99099430219403,0.6977322421465652,-204.38340132178638,-3.0728891190248544,0.0,46.64131899446357,0.0,-79.08980590175302,1121.4458069608936,-680.7393611830691
2026-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
