date,from_date,tank_draw_kb,tank_build_kb,kpler_loadings_kb,gap_kb
2026-05-28,2026-05-25,-752.9052446829412,1250.5452955643736,0.0,752.9052446829412
2026-05-31,2026-05-28,-1874.5407600294852,73.12038634861023,0.0,1874.5407600294852
2026-06-03,2026-05-31,-191.31497350265016,945.2955803681667,0.0,191.31497350265016
2026-06-04,2026-06-03,-65.80797382175415,135.96868253405952,0.0,65.80797382175415
2026-06-06,2026-06-04,-909.6304521603047,216.20861237490902,0.0,909.6304521603047
2026-06-09,2026-06-06,-424.3646469270734,325.8831075171151,0.0,424.3646469270734
2026-06-13,2026-06-09,-267.47616022252936,1279.8261791310008,0.0,267.47616022252936
2026-06-16,2026-06-13,-583.4607454619694,305.86974308136524,0.0,583.4607454619694
2026-06-18,2026-06-16,-649.0148454026445,694.0057288761466,0.0,649.0148454026445
2026-06-21,2026-06-18,-1012.4687960372652,1247.3921650961222,0.0,1012.4687960372652
2026-06-25,2026-06-21,-139.95976587349048,1306.9773812647406,0.0,139.95976587349048
2026-06-28,2026-06-25,-975.4480464676478,658.7341470302451,0.0,975.4480464676478
2026-07-01,2026-06-28,-1613.1031752226886,745.1729327704755,0.0,1613.1031752226886
2026-07-04,2026-07-01,-1456.9710991462896,455.05000318362437,0.0,1456.9710991462896
2026-07-07,2026-07-04,-140.38798205121438,1612.2291054102486,0.0,140.38798205121438
2026-07-10,2026-07-07,-253.95507404128747,1008.1406373581971,0.0,253.95507404128747
2026-07-13,2026-07-10,-687.5464085231677,220.74542777755698,0.0,687.5464085231677
2026-07-16,2026-07-13,-745.751853052234,222.40081122532055,2000.0,-1254.2481469477661
2026-07-19,2026-07-16,-533.2653396529213,317.5202858909875,0.0,533.2653396529213
2026-07-22,2026-07-19,-684.5474819742199,524.6332566842381,0.0,684.5474819742199
2026-07-25,2026-07-22,-290.57536723900415,901.651281675556,774.84,-484.2646327609959
2026-07-28,2026-07-25,-1397.3106367419937,602.1735082167847,0.0,1397.3106367419937
2026-07-31,2026-07-28,-866.8141620268257,1355.1150831654318,0.0,866.8141620268257
2026-08-03,2026-07-31,-826.7623044389218,350.52944542896705,0.0,826.7623044389218
2026-08-06,2026-08-03,-1480.6683644683512,356.6888603051308,749.32,731.3483644683512
2026-08-09,2026-08-06,-397.1756048624514,562.4527064475838,0.0,397.1756048624514
2026-08-12,2026-08-09,-372.78387789233375,460.51666306722757,0.0,372.78387789233375
