date,zirkuIsland_0,zirkuIsland_1,zirkuIsland_2,zirkuIsland_3,zirkuIsland_4,zirkuIsland_5,zirkuIsland_6,zirkuIsland_7,zirkuIsland_8,zirkuIsland_9,total_build,total_draw
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,-540.0478710404971,-0.3048141941900831,7.902538955672644,-113.54612644195848,878.9759223672726,116.47597896954254,0.0,-435.597792480557,-576.3848366939773,6.962076095436117,1010.3165163879239,-1665.8814408511798
2026-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,876.4357435106906,223.86197138965747,464.5604893012134,-19.69117398453178,-863.3250599424204,-682.8188969817508,-478.63043478426675,-506.4438904706071,183.05496191406843,5.660719741475652,1753.5738858571058,-2550.9094561635766
2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,-903.5933831245658,558.9625142974335,-250.77714557856996,910.9230010956924,863.3250599424204,477.7389865690201,-337.74032773593103,247.50573243266518,635.2585186309954,-41.420650199119,3693.713812968227,-1533.5315066381859
2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-15,903.5933831245658,-630.9171321926807,357.8251488038829,-646.4755892411806,-240.50908915183052,205.07991041273064,-107.48885877866763,497.1352740797446,-203.51166476193245,119.11690545279743,2082.7506218737212,-1828.902334126292
2026-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-18,-842.9635553064663,-48.034662354871166,266.4777340570253,720.1990529089319,-673.3953034220242,-797.7470023541753,923.8596212988655,-276.6200971823578,-463.5791878370292,818.1484307351124,2728.684838999935,-3102.339808456924
2026-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-21,842.9635553064663,678.9517945475519,-640.2154522459255,-893.7251944586155,32.34741168963036,797.7470023541753,0.0,474.02077362111214,-20.843217958170804,-349.31565541262063,2826.0305375189364,-1904.0995200753323
2026-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,-922.7874763405946,-643.2485981160647,155.05647630306194,382.45376673221983,881.5569808842245,-777.984814032207,0.0,-878.6526396063272,-126.35444532517809,56.92845266056317,1475.9956765800694,-3349.0279734203714
2026-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,877.0950207032565,643.2485981160647,-159.60283857446794,412.1733040626936,-874.0133581202863,659.1873850239525,-834.7562289992552,448.3941523166437,-63.152524725907135,292.3872027520575,3332.4856629746687,-1931.5249504199166
2026-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,-593.278482362764,-264.70972678025333,368.65382267223754,-666.3062516961182,-62.10883530932944,-450.27288155374447,397.427884056107,430.25848728968344,483.50080310457656,-933.7163426871399,1679.8409971226044,-2970.392520389349
2026-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,-259.9370901058401,-53.07666683211061,-77.49924431359617,632.289391909465,870.2895091301348,-1.1479463323581731,437.3283449431482,-703.2788529388527,393.9402375036412,14.177317459967105,2348.024800946356,-1094.9398005227577
2026-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,898.9080281059422,-224.15231774939352,-132.33933312488907,-729.6350676899226,-868.5753787785388,554.5462206156483,-866.655264609955,15.188872284575599,0.0,355.8883953048487,1824.5315163110147,-2821.357361952699
2026-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,0.0,-75.80063487455865,485.94656928357915,-5.1155877877936,48.756238059683355,15.672036278708838,217.34801226323856,-19.55947255795251,0.0,12.07490726333682,779.7977631485467,-100.47569522030477
2026-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,-857.58672452504,-295.21215689971797,-763.8656078754167,-54.929399046930484,-8.02428701318067,-966.0737673003397,-153.92473738886662,355.58213338174346,-283.68229881060813,113.50094125098211,469.0830746327256,-3383.2989788601003
2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,-25.476647329006926,28.993298514926106,-69.37801010548591,-30.03399285877531,18.752862533437902,-23.417684016996994,-69.46999917215703,-31.821011597580743,-28.551163941868115,48.56981014825078,96.31597119661478,-278.148509021871
2026-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,-22.90489531212696,-48.109845958789926,56.02064081666176,59.98823793470126,-28.044639057378866,64.7892294790491,700.1994964091007,14.673319728446193,3.7702505571390503,-38.944707386135356,899.4411749250982,-138.0040877144311
2026-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,-7.446399318330921,175.43601298677387,-147.01349955163838,-146.01410955216434,316.7394332216743,-47.822085019304765,-770.1722172807696,-26.87495119692199,-5.345334479678655,132.66907061691185,624.8445168253601,-1150.6885963988088
2026-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,-13.617098042038386,-169.5265811305981,94.93860779580463,418.7738941768141,-265.9170694415418,369.47015394291435,486.7023775115555,38.02485664334614,15.88373478489439,-41.59739393614116,1423.7936248553292,-490.6581425503194
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,432.4409587387508,444.5387337016804,320.6957310573397,233.1369025912995,605.2397746775227,220.58562084045144,196.16917142401542,-11.66719761679601,-20.18820847612084,39.91191941396426,2492.7188124450245,-31.855406092916848
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,-347.3256263147511,-331.028343245603,-344.61439750340185,-229.93439878519612,-451.0812911036415,-641.2859021851745,-513.0907370290796,-33.42256533616595,27.280564485799054,45.856864787747156,73.13742927354622,-2891.783261503014
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04,-56.05770330140879,337.759380449501,345.7238912417942,-133.14899454584554,-169.74572741679637,301.0367578032607,-146.12523315357208,-370.5013242864619,-597.7425907720865,-672.4826981977143,984.5200294945558,-2145.8042716738855
2026-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-07,-37.7663918502921,-452.8442566742469,-342.57555906801696,-122.7865739839716,335.54090998328223,105.53209297449514,919.0191310264898,-20.01749379002745,185.27818934120646,104.16701607490762,1649.5373394003811,-975.990275366555
2026-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,46.83815355834819,35.28829465402896,244.3761042757457,3.9998508742069827,25.242136558766127,-32.80588393555617,-234.000403939915,82.90362055006949,-61.85466384216328,-6.320536863701535,438.6481604711654,-334.981488581336
2026-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,-34.95665274092963,-33.61778347172064,-225.9484378448784,-173.3686919267151,18.994822459818447,-367.1825381994059,-636.5850462120975,211.60617625633057,34.35542976724298,-11.682328937401413,264.95642848339196,-1483.3414793331485
2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16,196.38974245853595,703.7512514881603,-96.16194796167547,644.7955504790555,-399.4842797559233,94.74445014026482,-72.01537513167354,44.23346387323877,-23.158379219087422,125.55310905390478,1809.4675674931602,-590.8199820683598
2026-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-19,-174.4646152422363,-541.9110418933974,92.25983743058727,-611.327516882536,504.1904302690318,-91.09467263955693,452.47523358566883,-3.7569660631649895,274.30358533864944,521.8279572305308,1845.0570438544682,-1422.5548127208915
2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-22,795.9739894658959,764.2223837153194,-24.636739186487162,-3.4725917687187904,-485.5911520211336,-26.979030635379953,10.636177515605349,-327.9925314498015,-248.99319211774528,-657.1011514965195,1570.8325506968206,-1774.766388675786
2026-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-25,-819.8328003942727,-332.78056727296314,860.1793864790675,97.3046062792287,-65.10349683145212,214.2960335569547,-318.4509280638268,26.83129253313446,358.80172244082206,543.3862456038534,2100.7992868930605,-1536.1677925625145
2026-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-28,829.2416691111563,30.753933288240688,-445.8295335885451,-95.21171191753295,55.7413494350845,-211.40097176523543,-45.36078625349002,146.8535500229368,369.8423549436048,-9.338459809929947,1432.432856801023,-807.1414633347334
2026-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,-828.9916974765192,-490.5683025389183,-240.11551993384143,-11.469093926226721,878.2020485207667,1037.60819695956,-0.3268147482133936,-145.50857400012598,-828.4891479859856,-230.48166377545684,1915.8102454803266,-2775.9508143852877
2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04,145.78457376530477,-107.57074821528548,-286.0474729715594,2.733723663890269,-20.56703923562949,-1004.4761563527902,64.32607890799828,-104.71501269736339,165.75856267663255,544.0817288809345,922.6846678947604,-1523.376429472628
2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,195.78149146924284,92.81939027483843,761.3372205456486,8.617639364436268,-462.89510182744664,450.3291521674256,473.03883571711054,462.0662281141009,608.673131138331,-382.6295458835936,3052.6630887911338,-845.5246477110402
2026-05-08,124.2674333428702,150.32800181095453,9.915876121675247,0.8616700992749539,-2.3420842824480497,5.250632354599773,0.5160750503574963,0.5850720744769787,13.8396346420208,111.88976756446948,417.4541630606994,-2.3420842824480497
2026-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,-18.85865399942978,236.06109135348188,-39.6802345102767,478.2004678081049,37.08337184205116,-26.578029446034694,-70.6212649255842,143.106997666428,-54.07906517403457,139.41373340473803,1033.865662074804,-209.81724805535993
2026-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,10.68378592844936,-254.96207290134137,29.022509822793772,-124.65632110286678,165.5440548145678,20.347364051524085,180.19665924208508,257.4603704023878,51.200830245125694,-53.95850828532712,714.4555745069335,-433.57690228953527
2026-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,-30.719235620980267,384.2850030735948,7.432580468774074,-188.22849830736837,-605.3180105295762,-480.01060901588016,-685.9763859065405,0.0,2.1322634796752826,90.66769007244113,484.51753709448525,-1990.2527393803457
2026-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,44.99428600239859,48.81334899261314,-258.3398399351931,-200.02008750924085,-44.83523775327334,12.321587307419279,255.91493110440067,-246.83333909875154,-761.5727303362523,-189.4478192338279,362.0441534068317,-1701.049053866539
2026-05-20,-8.781050950998557,-670.2820566504453,351.41660177813077,10.980594740083092,11.095940546165453,624.7442106800922,-176.99917921542365,-136.06910379764625,318.18921911099636,-641.0228652293903,1316.4265668554679,-1633.154255843904
2026-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,-432.37664532496956,44.93647653884115,110.88781220239319,7.556079871101305,364.7735438110514,69.41781216782226,803.2321932735383,-520.0636675548947,350.69044314188466,4.464225942334276,1755.9585869489667,-952.4403128798642
2026-05-23,107.91844152556325,695.8335467436475,-11.17981629348139,7.719515441564145,47.161960217051444,-706.1825265773402,-944.7587109160891,2.75102591093455,133.65685906160635,62.16823921387934,1057.2095881142466,-1662.1210537869106
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,-124.8290247954221,-617.8589825166492,11.17981629348139,-23.82190486246068,263.4291131825786,112.97877852011285,763.2960739024878,10.849073799303616,0.0,667.3365170005253,1829.0693726984896,-766.509912174532
2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,838.4835891128619,592.1713738348678,-865.8692926493574,16.765700740658563,-352.04100147941887,573.6102644398095,-461.522536136403,189.8210141012303,-798.6821624724887,-525.2211856999011,2210.851942229428,-3003.3361784375693
