date,rasTanura_10,rasTanura_11,rasTanura_12,rasTanura_13,rasTanura_14,rasTanura_15,rasTanura_16,rasTanura_17,rasTanura_18,rasTanura_19,rasTanura_20,rasTanura_21,rasTanura_22,rasTanura_23,rasTanura_24,rasTanura_25,rasTanura_26,rasTanura_27,rasTanura_28,rasTanura_29,rasTanura_30,rasTanura_31,rasTanura_32,rasTanura_33,rasTanura_34,rasTanura_35,rasTanura_36,rasTanura_37,rasTanura_38,rasTanura_39,rasTanura_40,rasTanura_41,rasTanura_42,rasTanura_43,rasTanura_44,rasTanura_45,rasTanura_46,rasTanura_47,rasTanura_49,rasTanura_50,rasTanura_51,rasTanura_52,rasTanura_53,rasTanura_54,rasTanura_55,rasTanura_56,rasTanura_57,rasTanura_58,rasTanura_59,rasTanura_6,rasTanura_60,rasTanura_61,rasTanura_62,rasTanura_63,rasTanura_64,rasTanura_66,rasTanura_67,rasTanura_7,rasTanura_8,rasTanura_9,total_build,total_draw
2026-07-06,22.368645169055323,-237.9776065071993,-437.23412362333517,-1.6704775120200939,241.05300761337213,244.0991544174774,-2.373230962833506,-1.2097740811463447,-604.6186021291305,386.4412358641234,-254.85172034960385,0.0,9.640985171776382,-1.3542474792814465,268.6821361127041,180.8203143769335,212.81198180719878,204.39572491939617,-500.77994039736603,-1.2086481267629716,0.8399448580721218,-15.65837383708889,-1.2287778945048193,-1.6235339732972789,0.0,140.38422050514112,91.09610943428336,-2.2488768796760996,133.02999568465688,19.33272582476819,-14.872888834112702,-1.1293136609738577,11.767858812962135,78.9180759522449,-88.20947889422992,-28.204940398179986,-0.6485990807351191,0.09597947720310185,-0.8034609565539577,41.20868009597028,-107.2602697016092,-3.109139521039353,-3.8142275998625847,113.21382667007585,-118.58260815049587,92.48794034029851,-99.08300686281963,0.38727583223563855,-2.4738448471080337,-556.7199651979175,-21.86952498978851,-0.8884577311497851,75.70377079229092,-90.25315897587956,-88.5755800302513,-6.46587958620413,-40.570495639963035,5.067150438576646,-2.2864716463087826,-392.4746901761709,2573.8467401708167,-3732.3339362346
2026-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-12,0.08382162311393768,-1.5983985012138728,-0.9751368012270542,16.8562132272367,0.0,-5.76132660339924,-0.09424939666781575,2.2312003181227484,23.192977395048597,439.31879827852373,-0.26799133164575323,-0.752331319841207,-11.268184397775563,-3.0715451427652734,-45.357365828643964,-37.610503740388985,0.0,-208.453437978858,-211.6451310177538,-5.9079962237262516,104.91114354875829,-3.245240271089133,62.181510708419346,0.4334294760727644,0.0,-151.84445353731297,0.9628041058289236,-1.268957666611881,-125.99581079936456,4.799405579328494,-4.690282778745256,-0.827731681055826,20.123828522238327,0.0,37.77372077473189,-73.8152079110146,0.15143231025731074,-124.10849966628605,68.1642349235318,-23.72079838987379,-6.204457991415067,26.583146045968547,119.88941655660564,3.584896361278545,94.1730077467432,-95.7293679669102,117.53705019971758,-17.58743561944594,0.9063741521992779,-2.112829553183983,21.86952498978851,0.27724255020785493,-67.90940233855508,6.496570392458191,295.51796360509746,27.901201094182426,117.8622643626526,-5.592056100845046,-2.6764705513154623,0.18914060515118764,1613.972319453264,-1240.0926011069314
2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
