date,jask_0,jask_1,jask_10,jask_11,jask_12,jask_13,jask_14,jask_15,jask_16,jask_17,jask_18,jask_19,jask_2,jask_3,jask_4,jask_5,jask_6,jask_7,jask_8,jask_9,total_build,total_draw
2026-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,209.52324476697262,-193.7578156683834,0.0,0.0,-5.621774848362548,4.990454122988391,-0.8741476868390455,-2.645188841512194,0.0,0.6955711808850756,0.0,-5.101065481464379,0.0,-462.96623954795757,-3.29264441682247,-1.044194198558631,178.50208302107117,44.52270255523478,0.0,0.0,438.23405564715205,-675.3030706899002
2026-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,-507.33886960086113,14.306388103510953,0.0,0.0,0.26667544812639243,-4.427334526095656,-0.09236710353504168,-1.5944690615208237,0.0,0.5568222315254389,0.0,-7.137252717620635,-463.35755301140233,121.74916906105983,-1.0438800731761149,-2.7730109806464753,-0.28829359760670925,168.09507192285685,0.0,0.0,304.9741267670795,-988.0530306724648
2026-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,100.19951920407644,37.49097971578117,0.0,0.0,15.338461056166677,52.19642223203729,18.591258734175877,3.2916840528662434,-140.51733548336924,-168.25270602619136,0.0,7.323739494631125,288.815624879147,72.97009853503423,-1.5528358516717562,26.39084702727117,-25.774885771131608,12.12893085830036,0.0,0.0,634.7375657894876,-336.097763132364
2026-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27,209.53981649068487,-31.221400280049536,0.0,0.0,-11.798552788388683,-53.91695703160681,-14.628269857268547,2.589592500726634,-32.16001965815696,-6.6860529958111,0.0,-8.215297329243098,35.75269310374919,20.895316447967375,5.474500904362241,-20.85465031754365,30.1332301369895,-7.15351479545486,0.0,0.0,304.3851495844798,-186.63471505352325
2026-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,15.121897300154902,11.351651922056801,0.0,0.0,12.484532129067928,51.06154588275199,10.517351530833345,-2.887996218747692,33.15761816714739,5.645607126058661,0.0,5.725780765235307,-42.819896338936935,-30.08658351104084,-5.2046231114111725,22.86510487532633,-34.806679651328714,5.31152615022863,0.0,0.0,173.24261584886125,-115.80577883146535
