date,lavan1_0,lavan1_1,lavan1_2,lavan1_3,lavan1_4,lavan1_5,lavan1_6,lavan1_7,lavan2_0,lavan2_1,lavan2_10,lavan2_11,lavan2_12,lavan2_13,lavan2_14,lavan2_15,lavan2_6,lavan2_7,lavan2_8,lavan2_9,total_build,total_draw
2026-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-10,-105.24560628255911,295.9432929255525,1.0425042396008504,-49.57953782925831,0.0,-2.870674959891883,4.78342734043987,2.8243499843850732,-3.45249740404106,1.6941740563832863,4.241171670013093,1.529312845659617,0.0,-59.29027543858301,10.990620534219897,-1.483232297603041,-57.148948282603335,0.0,0.0,-17.588601816853117,323.0488535962542,-296.65937431139287
2026-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,-118.64328127406968,173.51986615902675,-2.310786299154046,-1.5502327865487897,0.0,-4.680184160724457,-1.0014747248439235,-3.7825857855996583,0.8841913958630466,-0.6722326162510144,-3.160884470638761,-0.5800706025368709,0.0,-13.487249060908697,-4.413849539040719,-72.37415750689416,46.89810363420974,-108.81415932462558,-92.16785197855268,20.715964377437107,242.01812556653664,-427.63900013038904
2026-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,-11.850518748678965,59.07574637866661,7.697629289998149,42.361354105981356,0.0,13.830050795767107,19.7949784389119,9.030415402863524,136.94573131369322,115.78748495350781,2.2660726846199104,48.291697678540196,0.0,134.93608458697986,-1.9535448292307993,31.50111619368846,10.250844648393599,14.963500172516738,-0.9865544702839543,15.944156866053673,662.6768635101821,-14.790618048193718
2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-28,191.66360852164257,-22.422653559743775,-9.852833233769577,-144.00222670452266,0.0,-12.573998524347262,-6.285222809846746,-9.898274343126396,-27.35340783797388,30.52526780059177,-3.747583957380572,-47.04347796259326,0.0,0.0,0.13342055323201932,6.606488903581456,-7.664086959142748,31.877228127063542,7.057487635933503,-92.56546754344666,267.86350154204484,-383.4092334358936
2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
