,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
405,HASNA,9212917,VLCC,IRAN,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,0,bbl,EOPL,,,,299229,"2,003",REPUBLIC OF KOREA,299.229,VLCC,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
420,TREND,9477177,Short Sea Tankers,TOGO,Entered MEG,2026-07-02,Iranian Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Khor Al Zubair Port,Iraq,7119,"2,008",CHINA,7.119,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
403,GERMANY B,9395317,VLCC,LIBERIA,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,0,bbl,Pelepas Light.,Malaysia,Al Shaheen,Qatar,296681,"2,010",CHINA,296.681,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
374,BULGARIA PROSPERITY,9387566,VLCC,LIBERIA,Entered MEG,2026-07-03,Dark/Unknown Route,Ballast,,0,bbl,Singapore,Singapore Republic,Mideast Gulf,,318325,"2,008",REPUBLIC OF KOREA,318.325,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
393,RAFFLES PROSPERITY,9390264,Short Sea Tankers,PANAMA,Entered MEG,2026-07-03,Iranian Route,Ballast,,0,bbl,Karachi,Pakistan,Mesaieed,Qatar,9210,"2,006",CHINA,9.21,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
389,MUSIK,9305051,MR,BAHAMAS,Entered MEG,2026-07-03,Iranian Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Bandar Mahshahr,Iran,46792,"2,006",REPUBLIC OF KOREA,46.792,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
381,HEMERA,9263954,Short Sea Tankers,PALAU,Entered MEG,2026-07-03,Iranian Route,Ballast,,0,bbl,Haldia,India,,,9214,"2,006",CROATIA,9.214,Below GP,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
373,THE DIPLOMAT,9659672,Handy/MR1,MARSHALL ISLANDS,Entered MEG,2026-07-04,Dark/Unknown Route,Laden,DPP,83812,bbl,Xiaolong,China,Jebel Ali,United Arab Emirates,31281,"2,014",REPUBLIC OF KOREA,31.281,MR,products,tagged,83812.0,False,False,False,True,False,clean fleet
370,SEA ELEGANT,9333228,Intermediate Tankers,HONG KONG,Entered MEG,2026-07-04,Iranian Route,Ballast,,0,bbl,Sikka,India,Jubail Industrial Port,Saudi Arabia,19734,"2,005",JAPAN,19.734,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
372,SWIFT FALCON,9246803,MR,PANAMA,Entered MEG,2026-07-04,Iranian Route,Laden,CPP,320944,bbl,Sohar Light.,Oman,Hamriya,United Arab Emirates,46308,"2,002",REPUBLIC OF KOREA,46.308,LR1,products,tagged,320944.0,True,True,True,False,True,dark fleet
