,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
66,OCEANA KAI,9221267,Short Sea Tankers,NICARAGUA,Entered MEG,2026-08-01,Iranian Route,Ballast,,0,bbl,Gulf of Oman,,Khor Al Zubair Port,Iraq,14796,"2,001",CHINA,14.796,GP,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
68,SERENITY IX,9156498,Intermediate Tankers,PANAMA,Entered MEG,2026-08-01,Iranian Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Zayed,United Arab Emirates,15885,"1,998",GERMANY,15.885,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
70,VADIN,9324100,VLCC,ANTIGUA AND BARBUDA,Entered MEG,2026-08-01,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Al Rayyan,Qatar,302478,"2,006",JAPAN,302.478,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
73,LOUIZA,9281554,MR,CURACAO,Entered MEG,2026-07-31,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Khor Al Zubair Port,Iraq,45557,"2,004",CROATIA,45.557,LR1,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
76,MARINE FLUX,9272565,Small Tankers,BARBADOS,Entered MEG,2026-07-31,Iranian Route,Ballast,,0,bbl,Karwar,India,Sharjah,United Arab Emirates,4500,"2,003",CHINA,4.5,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
77,NISSOS HERACLEA,9419618,VLCC,LIBERIA,Entered MEG,2026-07-31,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Al Basrah,Iraq,313525,"2,009",REPUBLIC OF KOREA,313.525,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
81,SINBAD,9413688,Aframax/LR2,LIBERIA,Entered MEG,2026-07-31,Dark/Unknown Route,Ballast,,0,bbl,Dongjiakou,China,Fujairah,United Arab Emirates,115928,"2,009",REPUBLIC OF KOREA,115.928,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
84,ASTRID 1,9176656,Handy/MR1,ARUBA,Entered MEG,2026-07-30,Iranian Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Bandar Imam Khomeini,Iran,32950,"1,999",REPUBLIC OF KOREA,32.95,MR,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
88,HESTER,9635585,Short Sea Tankers,BAHAMAS,Entered MEG,2026-07-29,Iranian Route,Ballast,,0,bbl,Lanqiao,China,Khor Al Zubair Port,Iraq,11983,"2,012",CHINA,11.983,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
90,NEW VOYAGE,9290579,MR,BAHAMAS,Entered MEG,2026-07-29,Dark/Unknown Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,Ras Laffan,Qatar,46187,"2,005",REPUBLIC OF KOREA,46.187,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
