imo,vessel_name,vessel_key,flag,afra_class,dwt,fleet,is_dark_fleet,n_crossings,n_enter,n_exit,first_enter,last_enter,last_exit,last_direction,last_crossing_date,last_crossing_type,last_loading_state_xing,last_cargo_type_xing,next_port_xing,in_out,days_since_enter,days_since_exit
9340635,TORKEL,TORKEL,HONG KONG,VLCC,297259,clean fleet,False,1,1,0,2026-07-08,2026-07-08,,Entered MEG,2026-07-08,Dark/Unknown Route,Ballast,,,in,6.0,
9357377,SALINA,SALINA,IRAN,VLCC,164154,dark fleet,True,3,2,1,2026-03-11,2026-07-02,2026-04-01,Entered MEG,2026-07-02,Iranian Route,Ballast,,,in,12.0,104.0
9360398,Y L W,Y L W,BARBADOS,Below GP,6012,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Iranian Route,Ballast,,Khalifa Industrial Zone,in,9.0,
9362061,HAWK,HAWK,IRAN,VLCC,317367,dark fleet,True,3,2,1,2026-03-16,2026-06-27,2026-03-30,Entered MEG,2026-06-27,Iranian Route,Ballast,,Mideast Gulf,in,17.0,106.0
9364112,TOUR 2,TOUR 2,IRAN,LR2,158817,dark fleet,True,3,2,1,2026-04-02,2026-07-06,2026-04-09,Entered MEG,2026-07-06,Iranian Route,Ballast,,Mideast Gulf,in,8.0,96.0
9376749,SURINAME PROSPERITY,SURINAME PROSPERITY,LIBERIA,VLCC,297556,clean fleet,False,1,1,0,2026-07-01,2026-07-01,,Entered MEG,2026-07-01,Dark/Unknown Route,Ballast,,Al Basrah,in,13.0,
9376751,FINLAND PROSPERITY,FINLAND PROSPERITY,LIBERIA,VLCC,297573,clean fleet,False,1,1,0,2026-07-01,2026-07-01,,Entered MEG,2026-07-01,Omani Route,Ballast,,Ras Tanura,in,13.0,
9377418,BARBADOS PROSPERITY,BARBADOS PROSPERITY,PANAMA,VLCC,297958,clean fleet,False,1,1,0,2026-07-01,2026-07-01,,Entered MEG,2026-07-01,Dark/Unknown Route,Ballast,,Al Basrah,in,13.0,
9377585,SUN RISE I,SUN RISE I,PANAMA,Below GP,7695,clean fleet,False,2,1,1,2026-04-01,2026-04-01,2026-03-01,Entered MEG,2026-04-01,Iranian Route,Ballast,,Khor Al Zubair Port,in,104.0,135.0
9379313,NEW FUTURE,NEW FUTURE,MARSHALL ISLANDS,LR1,50922,clean fleet,False,2,1,1,2026-07-03,2026-07-03,2026-04-13,Entered MEG,2026-07-03,Iranian Route,Laden,CPP,Hamriya,in,11.0,92.0
9387566,BULGARIA PROSPERITY,BULGARIA PROSPERITY,LIBERIA,VLCC,318325,clean fleet,False,1,1,0,2026-07-03,2026-07-03,,Entered MEG,2026-07-03,Dark/Unknown Route,Ballast,,,in,11.0,
9387578,NUSHEN,NUSHEN,BARBADOS,VLCC,299999,clean fleet,False,1,1,0,2026-04-04,2026-04-04,,Entered MEG,2026-04-04,Dark/Unknown Route,Ballast,,,in,101.0,
9389021,ARGENTINA B,ARGENTINA B,LIBERIA,VLCC,299999,clean fleet,False,9,5,4,2026-04-14,2026-07-12,2026-07-05,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,Al Basrah,in,2.0,9.0
9389899,BRUNEI PROSPERITY,BRUNEI PROSPERITY,LIBERIA,ULCC,321300,clean fleet,False,1,1,0,2026-07-05,2026-07-05,,Entered MEG,2026-07-05,Dark/Unknown Route,Ballast,,Al Basrah,in,9.0,
9390264,RAFFLES PROSPERITY,RAFFLES PROSPERITY,PANAMA,Below GP,9210,clean fleet,False,2,1,1,2026-07-03,2026-07-03,2026-06-24,Entered MEG,2026-07-03,Iranian Route,Ballast,,Mesaieed,in,11.0,20.0
9390927,KERALA,KERALA,LIBERIA,LR1,74999,clean fleet,False,7,4,3,2026-03-02,2026-07-07,2026-07-02,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,Dubai Light.,in,7.0,12.0
9391775,BASRAH ENERGY,BASRAH ENERGY,PANAMA,VLCC,301583,clean fleet,False,9,5,4,2026-04-14,2026-06-18,2026-06-14,Entered MEG,2026-06-18,Dark/Unknown Route,Ballast,,Zirku,in,26.0,30.0
9395317,GERMANY B,GERMANY B,LIBERIA,VLCC,296681,clean fleet,False,1,1,0,2026-07-02,2026-07-02,,Entered MEG,2026-07-02,Dark/Unknown Route,Ballast,,Al Basrah,in,12.0,
9395496,DOMINICA PROSPERITY,DOMINICA PROSPERITY,LIBERIA,VLCC,297274,clean fleet,False,1,1,0,2026-07-02,2026-07-02,,Entered MEG,2026-07-02,Omani Route,Ballast,,Ras Tanura,in,12.0,
9399478,STALLION,STALLION,LIBERIA,LR2,157048,clean fleet,False,1,1,0,2026-02-28,2026-02-28,,Entered MEG,2026-02-28,IMO Route,Ballast,,Mina Al-Ahmadi,in,136.0,
9404950,OTTOMAN EQUITY,OTTOMAN EQUITY,TURKIYE,LR2,149999,clean fleet,False,3,2,1,2026-05-27,2026-07-03,2026-06-21,Entered MEG,2026-07-03,Omani Route,Ballast,,Dubai Area,in,11.0,23.0
