vessel_name,imo,flag,fleet,afra_class,dwt,controller,charterer,seller,loading_port,grade,loading_date,volume_bbl,last_enter,last_exit,in_out,days_since_enter,last_loading_state,trade_status,discharged,stuck_risk,exit_candidate,last_crossing_type,n_enter,n_exit
AMBER,9357406,IRAN,dark fleet,VLCC,317356,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-16 00:00:00,2115005.0,2026-04-14,2026-06-01,out,91.0,laden,In Transit,Qingdao Huangdao,False,False,Dark/Unknown Route,1,2
DORE,9357717,IRAN,dark fleet,VLCC,317850,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-25 00:00:00,2000002.0,2026-04-19,2026-06-21,out,86.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
DAN,9357729,IRAN,dark fleet,VLCC,319999,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-07-08 00:00:00,2000002.0,2026-06-27,2026-07-11,out,17.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
PLATA CARRIER,9358280,LIBERIA,clean fleet,VLCC,307284,IOC,IOC,Aramco,Juaymah,Arab Hy.,2026-03-05 17:15:00,926080.0,,2026-06-24,out,,laden,Delivered,Paradip Refinery,False,False,Omani Route,0,1
HERBY,9362059,IRAN,dark fleet,VLCC,317356,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-06-21 00:00:00,2000002.0,2026-06-19,2026-06-28,out,25.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
HAWK,9362061,IRAN,dark fleet,VLCC,317367,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-22 00:00:00,2000002.0,2026-06-27,2026-03-30,in,17.0,ballast,Delivered,Yantai,True,False,Iranian Route,2,1
HERO II,9362073,IRAN,dark fleet,VLCC,317355,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-31 00:00:00,2000002.0,2026-03-26,2026-04-05,out,110.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
YAKUMOSAN,9362877,MARSHALL ISLANDS,clean fleet,VLCC,302165,,,Aramco,Juaymah,Arab XLt.,2026-03-07 12:37:00,1199995.0,,2026-07-06,out,,laden,In Transit,Nagoya,False,False,IMO Route,0,1
TOUR 2,9364112,IRAN,dark fleet,LR2,158817,,,NIOC,Kharg Island,Iran,2026-04-06 00:00:00,740530.0,2026-07-06,2026-04-09,in,8.0,ballast,Delivered,China,False,False,Iranian Route,2,1
SURINAME PROSPERITY,9376749,LIBERIA,clean fleet,VLCC,297556,Shell,Shell,"SOC,SOMO",Al Basrah,Basrah,2026-07-21 07:41:00,2010305.0,2026-07-01,,in,13.0,ballast,Scheduled,,True,False,Dark/Unknown Route,1,0
FINLAND PROSPERITY,9376751,LIBERIA,clean fleet,VLCC,297573,Trafigura,Trafigura,Aramco,Ras Tanura,Arab,2026-07-19 17:03:00,2010305.0,2026-07-01,,in,13.0,ballast,Scheduled,,True,False,Omani Route,1,0
BARBADOS PROSPERITY,9377418,PANAMA,clean fleet,VLCC,297958,Mercuria,Mercuria,SOMO,Al Basrah,Basrah,2026-07-08 12:18:00,1980000.0,2026-07-01,,in,13.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
JAHAM,9378541,SAUDI ARABIA,clean fleet,VLCC,318000,,,Aramco,Juaymah,Arab Lt.,2026-02-28 13:37:00,1053341.0,,2026-06-18,out,,laden,In Transit,Ulsan,False,False,Dark/Unknown Route,0,1
JIAOLONG,9379208,LIBERIA,clean fleet,LR2,159021,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-04-22 00:00:00,999998.0,2026-04-19,2026-04-24,out,86.0,laden,Delivered,Jamnagar Refinery,False,False,Dark/Unknown Route,1,1
CORE AXIS,9379210,LIBERIA,clean fleet,LR2,159021,,,Aramco,Juaymah,Arab XLt.,2026-03-03 09:57:00,699999.0,2026-02-28,2026-03-06,out,136.0,laden,Delivered,Mumbai Refinery,False,False,Dark/Unknown Route,1,1
NEW FUTURE,9379313,MARSHALL ISLANDS,clean fleet,LR1,50922,,,,,,,,2026-07-03,2026-04-13,in,11.0,laden,,Hamriya,True,True,Iranian Route,1,1
CUMA,9379703,GUYANA,dark fleet,VLCC,296068,,,,,,,,,2026-03-09,out,,laden,,EOPL,False,False,Dark/Unknown Route,0,1
MANIFA,9384198,SAUDI ARABIA,clean fleet,VLCC,319427,,,Aramco,Ras Tanura,Arab,2026-06-28 00:00:00,2112583.0,2026-06-23,2026-07-02,out,21.0,laden,In Transit,Zhoushan,False,False,Dark/Unknown Route,1,1
JALADI,9384227,SAUDI ARABIA,clean fleet,VLCC,318000,,,Aramco,Ras Tanura,Arab,2026-06-30 21:34:00,2000002.0,2026-06-29,2026-07-03,out,15.0,laden,In Transit,Zhoushan,False,False,Dark/Unknown Route,1,1
KARAN,9384239,SAUDI ARABIA,clean fleet,VLCC,319410,,,Aramco,Juaymah,Arab Hy.,2026-07-01 23:00:00,1049467.0,2026-06-24,2026-07-02,out,20.0,laden,In Transit,Zhoushan,False,False,Dark/Unknown Route,1,1
LONG WIND,9385037,HONG KONG,clean fleet,ULCC,320141,,,Aramco,Juaymah,Arab XLt.,2026-03-01 21:57:00,560000.0,,2026-07-04,out,,laden,In Transit,South Korea,False,False,IMO Route,0,1
BULGARIA PROSPERITY,9387566,LIBERIA,clean fleet,VLCC,318325,,,ADNOC,ADCOP Fujairah,Murban,2026-04-02 19:57:00,399994.0,2026-07-03,,in,11.0,ballast,Delivered,ExxonMobil PAC Refinery,True,False,Dark/Unknown Route,1,0
NUSHEN,9387578,BARBADOS,clean fleet,VLCC,299999,,,,,,,,2026-04-04,,in,101.0,ballast,,,True,False,Dark/Unknown Route,1,0
ARGENTINA B,9389021,LIBERIA,clean fleet,VLCC,299999,,,SOMO,Al Basrah,Basrah,2026-07-20 13:41:00,1459997.0,2026-07-12,2026-07-05,in,2.0,ballast,Scheduled,,False,False,Dark/Unknown Route,5,4
BRUNEI PROSPERITY,9389899,LIBERIA,clean fleet,ULCC,321300,,,SOMO,Al Basrah,Basrah,2026-07-19 04:41:00,1459997.0,2026-07-05,,in,9.0,ballast,Scheduled,,False,False,Dark/Unknown Route,1,0
KERALA,9390927,LIBERIA,clean fleet,LR1,74999,,,,,,,,2026-07-07,2026-07-02,in,7.0,ballast,,Dubai Light.,False,False,Dark/Unknown Route,4,3
BASRAH ENERGY,9391775,PANAMA,clean fleet,VLCC,301583,,,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-05-29 00:00:00,1900000.0,2026-06-18,2026-06-14,in,26.0,ballast,In Transit,,True,True,Dark/Unknown Route,5,4
MERCURY HOPE,9395290,PANAMA,clean fleet,VLCC,297221,Trafigura,Trafigura,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-03-05 20:17:00,699999.0,,2026-07-08,out,,laden,In Transit,Zhanjiang,False,False,IMO Route,0,1
GERMANY B,9395317,LIBERIA,clean fleet,VLCC,296681,TotalEnergies,TotalEnergies,SOMO,Al Basrah,Basrah,2026-07-19 13:41:00,1459997.0,2026-07-02,,in,12.0,ballast,Scheduled,Eastern Asia,True,False,Dark/Unknown Route,1,0
DOMINICA PROSPERITY,9395496,LIBERIA,clean fleet,VLCC,297274,Trafigura,Trafigura,Aramco,Juaymah,Arab,2026-07-10 20:19:00,637742.0,2026-07-02,,in,12.0,ballast,In Transit,,True,True,Omani Route,1,0
AZUMASAN,9397157,SINGAPORE,clean fleet,VLCC,302068,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,Aramco,Juaymah,Arab M,2026-03-03 23:38:00,1999996.0,,2026-07-06,out,,laden,In Transit,Ningbo Area,False,False,IMO Route,0,1
STALLION,9399478,LIBERIA,clean fleet,LR2,157048,,,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-04-27 09:19:00,699999.0,2026-02-28,,in,136.0,ballast,In Transit,Dubai Area,True,True,IMO Route,1,0
OTTOMAN EQUITY,9404950,TURKIYE,clean fleet,LR2,149999,,,,,,,,2026-07-03,2026-06-21,in,11.0,ballast,,Dubai Area,True,False,Omani Route,2,1
GRAND LADY,9406166,CYPRUS,clean fleet,VLCC,299999,,,SOMO,Al Basrah,Basrah,2026-07-01 00:00:00,1959999.0,2026-06-27,2026-07-05,out,17.0,laden,In Transit,Ain Sukhna,False,False,Dark/Unknown Route,2,2
KAROLOS,9410208,LIBERIA,clean fleet,VLCC,162418,,,QatarEnergy,Halul Island,Qatar Land,2026-06-08 00:00:00,508858.0,2026-06-04,2026-06-10,out,40.0,laden,Delivered,Jamnagar Refinery,False,False,Dark/Unknown Route,2,2
ZOUZOU N.,9410222,LIBERIA,clean fleet,VLCC,162204,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-04-16 00:00:00,999998.0,2026-04-10,2026-04-19,out,95.0,laden,Delivered,S-Oil Onsan,False,False,Dark/Unknown Route,1,1
JAYA,9410387,CURACAO,dark fleet,VLCC,310084,,,NIOC,Kharg Island,Iran,2026-02-28 00:00:00,1999996.0,,2026-03-03,out,,laden,Delivered,Paradip Refinery,False,False,Dark/Unknown Route,0,1
SERIFOS,9410399,LIBERIA,clean fleet,VLCC,309396,,,QatarEnergy,Halul Island,Qatar Mar.,2026-07-10 06:39:00,783402.0,2026-07-06,2026-07-11,out,8.0,laden,In Transit,Zhanjiang,False,False,Dark/Unknown Route,2,2
TOGO PROSPERITY,9411032,LIBERIA,clean fleet,VLCC,318325,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-06-24 00:00:00,1900000.0,2026-07-01,2026-07-07,out,13.0,laden,In Transit,Jieyang,False,False,Omani Route,4,4
TANZANIA PROSPERITY,9414931,LIBERIA,clean fleet,VLCC,296800,,,,,,,,2026-07-05,,in,9.0,ballast,,,False,False,Dark/Unknown Route,1,0
OCEAN THUNDER,9416422,PANAMA,clean fleet,VLCC,164737,PETCO,PETCO,SOMO,Al Basrah,Basrah Hy.,2026-03-03 14:18:00,356883.0,,2026-04-05,out,,laden,Delivered,Petronas Melaka Refinery,False,False,Iranian Route,0,1
TANI,9417464,COMOROS,dark fleet,AFRA,105188,,,,,,,,2026-06-20,,in,24.0,ballast,,Bandar Mahshahr,True,False,Dark/Unknown Route,1,0
PERU PROSPERITY,9418066,LIBERIA,clean fleet,VLCC,318080,,,Aramco,Ras Tanura,Arab,2026-07-19 11:03:00,2000002.0,2026-07-02,,in,12.0,ballast,Scheduled,,True,False,Dark/Unknown Route,1,0
NISSOS HERACLEA,9419618,LIBERIA,clean fleet,VLCC,313525,PTT,PTT,"QatarEnergy,TotalEnergies",FSO Qatar Petroleum Al Shaheen II,Shaheen,2026-07-08 12:59:00,1259867.0,2026-07-04,2026-07-09,out,10.0,laden,In Transit,,False,False,Dark/Unknown Route,2,2
C.PRIMACY,9422160,PANAMA,clean fleet,VLCC,313874,,,,,,,,,2026-02-28,out,,laden,,Ningbo,False,False,IMO Route,0,1
SUNDORO,9430181,MALTA,clean fleet,LR1,46851,,,,,,,,,2026-06-23,out,,laden,,Sohar,False,False,Dark/Unknown Route,0,1
AL REEM,9430296,MARSHALL ISLANDS,clean fleet,LR1,46046,,,,,,,,2026-07-05,,in,9.0,ballast,,Ruwais,False,False,Dark/Unknown Route,1,0
NORDIC CROSS,9438418,MARSHALL ISLANDS,clean fleet,LR2,158475,,,SOMO,Al Basrah,Basrah Med.,2026-03-03 21:19:00,1036887.0,,2026-06-22,out,,laden,In Transit,Le Havre,False,False,Dark/Unknown Route,0,1
FPMC C LORD,9447574,LIBERIA,clean fleet,VLCC,301861,FPCC,FPCC,Aramco,Juaymah,Arab Lt.,2026-02-28 08:15:00,1202423.0,,2026-04-18,out,,laden,Delivered,FPCC Mailiao Refinery,False,False,Iranian Route,0,1
APNOIA,9448152,MALTA,clean fleet,LR1,74812,,,,,,,,2026-07-12,,in,2.0,ballast,,Jubail Industrial Port,False,False,Dark/Unknown Route,1,0
IKARIOTIKOS,9455703,LIBERIA,clean fleet,LR1,51678,,,,,,,,2026-07-05,,in,9.0,laden,,Hamriya,False,True,Dark/Unknown Route,1,0
P.ALIKI,9460136,MARSHALL ISLANDS,clean fleet,AFRA,105304,,,ADNOC,ADCOP Fujairah,Murban,2026-05-16 10:59:00,430002.0,,2026-03-28,out,,laden,Delivered,Karachi Keamari,False,False,Iranian Route,0,1
DESH GARIMA,9467756,INDIA,clean fleet,AFRA,114790,,,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-04-03 00:00:00,599997.0,,2026-04-18,out,,laden,Delivered,Mumbai Refinery,False,False,Iranian Route,0,1
OLYMPIC TARGET,9468853,GREECE,clean fleet,VLCC,319861,,,SOMO,Al Basrah,Basrah Med.,2026-03-05 18:58:00,989318.0,,2026-06-21,out,,laden,In Transit,San Diego Port,False,False,Dark/Unknown Route,0,1
NAVIG8 MONTIEL,9482861,SINGAPORE,clean fleet,LR1,75571,,,,,,,,2026-06-13,2026-05-29,in,31.0,ballast,,Ruwais,True,False,Dark/Unknown Route,2,1
NISALAH,9484730,SAUDI ARABIA,clean fleet,VLCC,319329,,,Aramco,Ras Tanura,Arab,2026-07-02 06:38:00,2000002.0,2026-06-29,2026-07-03,out,15.0,laden,In Transit,Yeosu,False,False,Dark/Unknown Route,1,1
BANI YAS,9487249,LIBERIA,clean fleet,LR1,74913,,,,,,,,2026-06-11,,in,33.0,laden,,Jebel Ali,True,True,Dark/Unknown Route,2,0
DIYYINAH I,9487251,LIBERIA,clean fleet,LR1,74954,,,,,,,,2026-06-14,2026-05-20,in,30.0,ballast,,Ruwais,True,False,Dark/Unknown Route,2,1
YAMILAH III,9487263,LIBERIA,clean fleet,LR1,74866,,,,,,,,2026-06-16,,in,28.0,ballast,,,True,False,Dark/Unknown Route,1,0
MEZAIRA'A,9487275,LIBERIA,clean fleet,LR1,74854,,,,,,,,2026-06-18,2026-06-05,in,26.0,ballast,,Dubai Light.,True,False,Dark/Unknown Route,2,1
POLA,9493767,LIBERIA,clean fleet,LR2,156446,,,,,,,,2026-03-02,2026-03-23,out,134.0,laden,,Singapore,False,False,Dark/Unknown Route,1,1
SMYRNI,9493779,LIBERIA,clean fleet,LR2,156413,,,ADNOC,ADCOP Fujairah,Murban,2026-03-27 02:19:00,799994.0,2026-03-02,2026-03-12,out,134.0,laden,Delivered,SRC Jurong,False,False,Dark/Unknown Route,1,1
HABRUT,9500730,MARSHALL ISLANDS,clean fleet,VLCC,319439,Shell,Shell,ADNOC,ADCOP Fujairah,Murban,2026-05-10 00:00:00,1849996.0,,2026-04-02,out,,laden,Delivered,Kiire,False,False,Dark/Unknown Route,0,1
ROTTERDAM ENERGY,9508859,LIBERIA,clean fleet,VLCC,296659,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-07-14 17:59:00,1986831.0,2026-07-10,2026-07-01,in,4.0,ballast,In Transit,,False,True,Dark/Unknown Route,3,3
NEW GIANT,9516947,LIBERIA,clean fleet,VLCC,319611,PetroChina,PetroChina,SOMO,Al Basrah,Basrah,2026-07-19 04:41:00,1459997.0,2026-07-13,,in,1.0,ballast,Scheduled,China,False,False,Dark/Unknown Route,1,0
KIDAN,9519482,SAUDI ARABIA,clean fleet,ULCC,321050,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-03-01 22:59:00,432669.0,,2026-06-20,out,,laden,Delivered,Huizhou GPC Terminal,False,False,Dark/Unknown Route,0,1
AWTAD,9519717,SAUDI ARABIA,clean fleet,VLCC,309988,,,Aramco,Ras Tanura,Arab Lt.,2026-03-07 03:18:00,547364.0,,2026-06-18,out,,laden,Delivered,Sinochem Xingzhong Aoshan Oil Terminal,False,False,Dark/Unknown Route,0,1
ST NIKOLAS,9524475,MARSHALL ISLANDS,clean fleet,LR2,158573,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-04-03 00:00:00,1071972.0,,2026-06-27,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
WEDYAN,9524970,SAUDI ARABIA,clean fleet,ULCC,321234,,,Aramco,Ras Tanura,Arab,2026-07-03 14:19:00,2000002.0,2026-06-29,2026-07-11,out,15.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
SOUTH AFRICA PROSPERITY,9526461,LIBERIA,clean fleet,VLCC,299992,,,SOMO,Al Basrah,Basrah,2026-07-19 07:41:00,1459997.0,2026-06-22,,in,22.0,ballast,Scheduled,,True,False,Omani Route,1,0
MACARENA,9532159,MARSHALL ISLANDS,clean fleet,AFRA,108993,,,,,,,,2026-07-06,,in,8.0,ballast,,Jubail Industrial Port,False,False,Dark/Unknown Route,1,0
EGYPT PROSPERITY,9534004,LIBERIA,clean fleet,VLCC,318663,,,SOMO,Al Basrah,Basrah,2026-07-11 10:19:00,1960049.0,2026-07-05,,in,9.0,ballast,In Transit,,False,True,Dark/Unknown Route,1,0
DAR SALWA,9534779,KUWAIT,clean fleet,VLCC,319761,KPC,KPC,KPC,Mina Al-Ahmadi,Kuwait,2026-07-02 00:00:00,2000002.0,2026-06-28,2026-07-07,out,16.0,laden,In Transit,Ulsan,False,False,Dark/Unknown Route,3,3
AL RIQQA,9534808,KUWAIT,clean fleet,VLCC,319704,KPC,KPC,KPC,Mina Al-Ahmadi,Kuwait,2026-06-16 00:00:00,2000002.0,2026-06-10,2026-06-04,in,34.0,ballast,In Transit,,True,True,Dark/Unknown Route,2,1
COSTA RICA PROSPERITY,9534858,LIBERIA,clean fleet,VLCC,297136,TotalEnergies,TotalEnergies,SOMO,Al Basrah,Basrah Med.,2026-07-08 04:59:00,2064969.0,2026-06-30,,in,14.0,ballast,In Transit,,True,True,Dark/Unknown Route,1,0
EL BELLA,9561368,PANAMA,clean fleet,LR1,47975,,,,FOTT,Buzios,2026-03-26 00:00:00,331995.0,2026-07-07,,in,7.0,ballast,Delivered,Sriracha,False,False,Omani Route,1,0
OMEGA TRADER,9567659,PANAMA,clean fleet,VLCC,305206,,,SOMO,Al Basrah,Basrah Med.,2026-03-05 05:18:00,1023528.0,,2026-07-06,out,,laden,In Transit,Sikka,False,False,Iranian Route,0,1
SNOW,9569619,IRAN,dark fleet,VLCC,318021,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-29 00:00:00,2000002.0,2026-03-23,2026-04-01,out,113.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
STARLA,9569621,IRAN,dark fleet,VLCC,317473,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-06 00:00:00,2000002.0,2026-04-02,2026-04-10,out,103.0,laden,In Transit,Qingdao Huangdao,False,False,Dark/Unknown Route,1,1
STREAM,9569633,IRAN,dark fleet,VLCC,317534,NIOC,NIOC,NIOC,FPSO Soroosh,Soroosh,2026-06-26 00:00:00,999998.0,2026-06-18,2026-06-30,out,26.0,laden,In Transit,,False,False,Dark/Unknown Route,1,2
SERENA,9569645,IRAN,dark fleet,VLCC,317536,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-11 00:00:00,2000002.0,2026-07-02,2026-03-16,in,12.0,ballast,Delivered,Offshore Hong Kong,True,False,Iranian Route,1,1
SEA CLIFF,9569657,IRAN,dark fleet,VLCC,317502,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-18 00:00:00,1499994.0,2026-03-10,2026-03-31,out,126.0,laden,Delivered,EOPL,False,False,Dark/Unknown Route,1,1
DORENA,9569669,IRAN,dark fleet,VLCC,319260,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-03 00:00:00,2000002.0,2026-03-29,2026-04-09,out,107.0,laden,In Transit,,False,False,Dark/Unknown Route,1,1
DINO I,9569671,IRAN,dark fleet,VLCC,319300,,,,,,,,2026-03-04,2026-03-15,out,132.0,laden,,,False,False,Dark/Unknown Route,1,1
DANIEL,9569683,IRAN,dark fleet,VLCC,319260,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-06 00:00:00,2000002.0,,2026-04-15,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
DIONA,9569695,IRAN,dark fleet,VLCC,319297,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-04-10 00:00:00,2130629.0,2026-04-07,2026-04-15,out,98.0,laden,Delivered,EOPL,False,False,Dark/Unknown Route,1,1
DERYA,9569700,IRAN,dark fleet,VLCC,319295,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-03-29 00:00:00,2000002.0,2026-07-07,2026-04-03,in,7.0,ballast,In Transit,,False,True,Dark/Unknown Route,2,1
DUNE,9569712,IRAN,dark fleet,VLCC,319247,NIOC,NIOC,NIOC,Kharg Island,Iran,2026-07-08 00:00:00,2000002.0,2026-06-30,2026-07-11,out,14.0,laden,In Transit,,False,False,Iranian Route,1,1
