vessel_name,imo,flag,fleet,afra_class,dwt,controller,charterer,seller,loading_port,grade,loading_date,volume_bbl,last_enter,last_exit,in_out,days_since_enter,last_loading_state,trade_status,discharged,stuck_risk,exit_candidate,last_crossing_type,n_enter,n_exit
NISSOS KEROS,9856074,MARSHALL ISLANDS,clean fleet,VLCC,318953,Vitol,Vitol,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-03-03 00:17:00,1799999.0,,2026-05-26,out,,laden,Delivered,Visakhapatnam Refinery,False,False,Dark/Unknown Route,0,1
SANAM,9858486,SAUDI ARABIA,clean fleet,VLCC,299999,,,Aramco,Juaymah,Arab,2026-07-08 18:13:00,2065699.0,2026-07-07,,in,7.0,ballast,In Transit,,False,True,Dark/Unknown Route,1,0
DAISEN,9874222,PANAMA,clean fleet,VLCC,311681,Mitsui,Mitsui,"ADNOC,BPCL,CNOOC,CNPC,Eni,INPEX,IOC,ONGC,TotalEnergies",Das Island,Das,2026-03-06 02:38:00,1599995.0,,2026-07-06,out,,laden,In Transit,Kiire,False,False,Iranian Route,0,1
MIAOULIS 21,9886641,GREECE,clean fleet,LR2,158081,TotalEnergies,TotalEnergies,SOMO,Al Basrah,Basrah Med.,2026-02-28 03:58:00,504329.0,,2026-06-21,out,,laden,Delivered,Aster Bukom,False,False,Dark/Unknown Route,0,1
PERTAMINA PRIDE,9888493,SINGAPORE,clean fleet,VLCC,301781,,,Aramco,Ras Tanura,Arab Lt.,2026-02-28 10:19:00,2014513.0,,2026-07-07,out,,laden,In Transit,Cilacap,False,False,Dark/Unknown Route,0,1
DHALKUT,9888601,MARSHALL ISLANDS,clean fleet,VLCC,300000,CNPC,CNPC,Aramco,Juaymah,Arab Hy.,2026-02-28 02:58:00,1052266.0,,2026-04-02,out,,laden,Delivered,Made Island,False,False,Dark/Unknown Route,0,1
NEW COROLLA,9900679,HONG KONG,clean fleet,VLCC,307552,,,,,,,,,2026-02-28,out,,laden,,Long Beach,False,False,IMO Route,0,1
MARAN ANTIOPE,9901348,GREECE,clean fleet,VLCC,318600,,,,,,,,2026-07-02,,in,12.0,ballast,,,True,False,Dark/Unknown Route,1,0
KARACHI,9903413,PAKISTAN,clean fleet,AFRA,109990,Gunvor,Gunvor,,FOTT,,2026-07-07 15:59:00,298231.0,,2026-03-15,out,,laden,Delivered,Karachi Keamari,False,False,Iranian Route,0,1
CYPRES,9907445,BELGIUM,clean fleet,LR2,158388,,,SOMO,Al Basrah,Basrah Med.,2026-03-02 13:59:00,1037208.0,,2026-06-25,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
LEGIO X EQUESTRIS,9912256,MARSHALL ISLANDS,clean fleet,VLCC,299937,RIL,RIL,Aramco,Juaymah,Arab XLt.,2026-03-01 12:59:00,961730.0,,2026-06-23,out,,laden,In Transit,,False,False,Omani Route,0,1
GRAND BONANZA,9915569,PANAMA,clean fleet,VLCC,299988,,,Aramco,Juaymah,Arab Lt.,2026-03-04 16:58:00,616502.0,2026-02-28,2026-06-25,out,136.0,laden,In Transit,Ulsan,False,False,IMO Route,1,1
LORA,9917804,SAUDI ARABIA,clean fleet,LR1,55202,,,,,,,,2026-06-08,2026-06-01,in,36.0,ballast,,Jubail Industrial Port,True,False,Dark/Unknown Route,1,1
NISSOS KEA,9920758,MARSHALL ISLANDS,clean fleet,VLCC,300323,,,QatarEnergy,Mesaieed,Qatar Land,2026-07-15 00:39:00,2048006.0,2026-07-09,2026-06-29,in,5.0,loading,Loading,,False,True,Dark/Unknown Route,2,1
NISSOS NIKOURIA,9920760,MARSHALL ISLANDS,clean fleet,VLCC,300323,,,,,,,,,2026-02-28,out,,laden,,Thanh Hóa,False,False,IMO Route,0,1
ENEOS ENDEAVOR,9924091,PANAMA,clean fleet,VLCC,312137,,,,,,,,,2026-05-13,out,,laden,,Kiire,False,False,Dark/Unknown Route,0,1
VL BREEZE,9926738,REPUBLIC OF KOREA,clean fleet,VLCC,319202,HOB,HOB,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-04-30 01:59:00,1399998.0,,2026-06-24,out,,laden,In Transit,Daesan,False,False,IMO Route,0,1
HAFEET,9928009,LIBERIA,clean fleet,VLCC,299425,NAVIG8 ASIA PTE LTD,NAVIG8 ASIA PTE LTD,"ADNOC,Moeve,OMV,Sonatrach,TotalEnergies",Umm Lulu,Umm Lulu,2026-07-01 15:59:00,1996461.0,2026-06-28,2026-07-05,out,16.0,laden,In Transit,Ko Sichang,False,False,Omani Route,5,5
ADVANTAGE VICTORY,9933547,MARSHALL ISLANDS,clean fleet,VLCC,299468,Shell,Shell,SOMO,Al Basrah,Basrah Hy.,2026-03-02 14:19:00,213.0,,2026-05-27,out,,laden,Delivered,Maasvlakte Light.,False,False,Dark/Unknown Route,0,1
EAGLE VELLORE,9933602,MALAYSIA,clean fleet,VLCC,299554,,,,,,,,,2026-02-28,out,,laden,,Daesan,False,False,IMO Route,0,1
EAGLE VERACRUZ,9933626,SINGAPORE,clean fleet,VLCC,299525,,,,,,,,,2026-05-26,out,,laden,,Quanzhou,False,False,Dark/Unknown Route,0,1
FRONT GANDER,9937098,MARSHALL ISLANDS,clean fleet,VLCC,300018,,,"ADNOC,Moeve,OMV,Sonatrach,TotalEnergies",Umm Lulu,Umm Lulu,2026-03-02 03:38:00,899996.0,,2026-06-26,out,,laden,In Transit,,False,False,Dark/Unknown Route,0,1
FRONT BEAULY,9937103,MARSHALL ISLANDS,clean fleet,VLCC,300018,,,,,,,,,2026-06-26,out,,laden,,Bataan,False,False,Dark/Unknown Route,0,1
AL BAHYAH,9937799,LIBERIA,clean fleet,VLCC,299425,,,"ADNOC,ExxonMobil,INPEX",Zirku,Zakum,2026-06-29 20:59:00,1899994.0,2026-06-26,2026-07-01,out,18.0,laden,Delivered,FOTT,False,False,Omani Route,4,4
IXORA,9940459,LIBERIA,clean fleet,AFRA,111006,,,,,,,,2026-06-25,,in,19.0,ballast,,Mina Al-Ahmadi,True,False,Dark/Unknown Route,1,0
ASIAN PROGRESS VII,9988683,SINGAPORE,clean fleet,VLCC,309000,,,Aramco,Ras Tanura,Arab XLt.,2026-03-03 18:37:00,979997.0,,2026-06-25,out,,laden,In Transit,Daesan,False,False,Omani Route,0,1
Necleus,9371608,,dark fleet,,297395,,,,Iran,Iran,2026-07-26 21:41:00,2010305.0,,,outside_no_xing,,ballast,Scheduled,,False,False,,0,0
Lila Jamnagar,9294575,,clean fleet,,298997,IOC,IOC,SOMO,Al Basrah,Basrah,2026-07-26 13:41:00,1459997.0,,,outside_no_xing,,ballast,Scheduled,East Coast India,False,False,,0,0
Rawaq,9853591,,clean fleet,,299696,,,Aramco,Ras Tanura,Arab,2026-07-26 08:03:00,1994454.0,,,outside_no_xing,,ballast,Scheduled,,False,False,,0,0
Jasmin Joy,9427471,,clean fleet,,104604,MRPL,MRPL,SOMO,Al Basrah,Basrah,2026-07-22 13:41:00,708628.0,,,outside_no_xing,,ballast,Scheduled,Mangalore,False,False,,0,0
Lawhah,9783681,,clean fleet,,298794,Aramco,Aramco,Aramco,Ras Tanura,Arab,2026-07-22 08:03:00,2060447.0,,,outside_no_xing,,ballast,Scheduled,,False,False,,0,0
Plata Singapore,9323936,,clean fleet,,307284,,,Aramco,Ras Tanura,Arab,2026-07-20 17:04:00,2054616.0,,,outside_no_xing,,ballast,Scheduled,,False,False,,0,0
Al Samha,9380324,,clean fleet,,17510,ADNOC,ADNOC,ADNOC,Ruwais,Murban,2026-07-20 08:57:00,117839.0,,,outside_no_xing,,ballast,Scheduled,,False,False,,0,0
Seeb,9500716,,clean fleet,,319439,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,NATIONAL SHIPPING CO OF SAUDI ARABIA BAHRI,Aramco,Ras Tanura,Arab,2026-07-19 14:15:00,1069557.0,,,outside_no_xing,,ballast,Scheduled,Eastern Asia,False,False,,0,0
Front Nausta,9845714,,clean fleet,,318953,Chevron,Chevron,ADNOC,ADCOP Fujairah,Murban,2026-07-16 11:39:00,1050002.0,,,outside_no_xing,,ballast,Loading,Americas,False,False,,0,0
New Honor,9799159,,clean fleet,,311080,Sinopec,Sinopec,ADNOC,ADCOP Fujairah,Murban,2026-07-16 00:57:00,1050002.0,,,outside_no_xing,,ballast,Loading,China,False,False,,0,0
Daryabandar 4,9794355,,clean fleet,,295,,,NIOC,FPSO Soroosh,Soroosh,2026-07-15 21:31:00,52079.0,,,outside_no_xing,,ballast,Loading,,False,False,,0,0
