load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl
Yuan Gui Yang,9843302,Das,9854507,Fujairah Light.,2026-07-08 00:00:00,2026-07-11 00:00:00,1996429,271065,Crude,Zakum,392862524,Gulf of Oman,YUAN GUI YANG,DAS,Fujairah Light.,Fujairah Light,1996429
Tamba,9343405,Hafeet,9928009,Sohar Light.,2026-07-08 00:00:00,2026-07-09 00:00:00,1996461,259325,Crude,Umm Lulu,392862514,Gulf of Oman,TAMBA,HAFEET,Sohar Light.,Sohar Light,1996461
Yuan Peng Yang,9847633,Kiku,9329796,Fujairah Light.,2026-07-06 20:19:00,2026-07-09 08:50:00,2011726,284017,Crude,Shaheen,392517038,Gulf of Oman,YUAN PENG YANG,KIKU,Fujairah Light.,Fujairah Light,2011726
Ocean Loyalty,9375238,Angola B,9623685,Sohar Light.,2026-07-06 00:00:00,2026-07-08 00:00:00,2009185,265450,Crude,Das,392517378,Gulf of Oman,OCEAN LOYALTY,ANGOLA B,Sohar Light.,Sohar Light,2009185
He Rong Hai,9603192,Mombasa B,9739501,Fujairah Light.,2026-07-06 00:00:00,2026-07-08 00:00:00,2002700,271917,Crude,Zakum,392862555,Gulf of Oman,HE RONG HAI,MOMBASA B,Fujairah Light.,Fujairah Light,2002700
Tara,1042500,France C,9322281,Sohar Light.,2026-07-06 00:00:00,2026-07-07 00:00:00,2000002,264237,Crude,Das,392516939,Gulf of Oman,TARA,FRANCE C,Sohar Light.,Sohar Light,2000002
Maran Artemis,9753002,Al Jabriyah II,9329708,Sohar Light.,2026-07-06 00:00:00,2026-07-07 00:00:00,2119181,294807,Crude,Kuwait,392517591,Gulf of Oman,MARAN ARTEMIS,AL JABRIYAH II,Sohar Light.,Sohar Light,2119181
Alexandros,9905459,Grand Lady,9406166,Fujairah Light.,2026-07-06 00:00:00,2026-07-07 00:00:00,1959999,277025,Crude,Basrah,392517887,Gulf of Oman,ALEXANDROS,GRAND LADY,Fujairah Light.,Fujairah Light,1959999
Twin Pollux,9625968,Rotterdam Energy,9508859,Sohar Light.,2026-07-06 00:00:00,2026-07-08 23:19:00,1986831,269762,Crude,Zakum,392516847,Gulf of Oman,TWIN POLLUX,ROTTERDAM ENERGY,Sohar Light.,Sohar Light,1986831
Lahore,9913511,Singapore Prosperity,9419967,Fujairah Light.,2026-07-04 20:18:00,2026-07-06 05:57:00,379866,50187,Crude,Das,392087475,Gulf of Oman,LAHORE,SINGAPORE PROSPERITY,Fujairah Light.,Fujairah Light,379866
Irini N. Lemos,9831218,Nissos Kea,9920758,Sohar Light.,2026-07-04 09:58:00,2026-07-08 02:23:00,200003,26137,Crude,Qatar Land,391933248,Gulf of Oman,IRINI N. LEMOS,NISSOS KEA,Sohar Light.,Sohar Light,200003
Irini N. Lemos,9831218,Nissos Kea,9920758,Sohar Light.,2026-07-04 09:58:00,2026-07-08 02:23:00,1799999,242678,Crude,Qatar Mar.,391933248,Gulf of Oman,IRINI N. LEMOS,NISSOS KEA,Sohar Light.,Sohar Light,1799999
New Achievement,9686340,Malaysia Prosperity,9395305,Fujairah Light.,2026-07-04 00:17:00,2026-07-06 21:07:00,2000002,275366,Crude,ME,391876017,Gulf of Oman,NEW ACHIEVEMENT,MALAYSIA PROSPERITY,Fujairah Light.,Fujairah Light,2000002
Tunisia Prosperity,9568809,Alexandros,9905459,Fujairah Light.,2026-07-02 03:39:00,2026-07-04 19:59:00,1959999,296034,Crude,Merey,391538242,Gulf of Oman,TUNISIA PROSPERITY,ALEXANDROS,Fujairah Light.,Fujairah Light,1959999
Mardan,9360453,Ocean Loyalty,9375238,Fujairah Light.,2026-06-30 22:18:00,2026-07-02 12:19:00,646535,83980,Crude,Umm Lulu,391432496,Gulf of Oman,MARDAN,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,646535
Desh Ujaala,9297486,Nissos Heraclea,9419618,Sohar Light.,2026-06-30 20:59:00,2026-07-03 22:34:00,2094689,296062,Crude,Basrah,391392410,Gulf of Oman,DESH UJAALA,NISSOS HERACLEA,Sohar Light.,Sohar Light,2094689
