Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
TITAN,9293143,Suezmax/LR3,CURACAO,Exited MEG,2026-06-22,Dark/Unknown Route,Laden,Crude/Co,1066657,bbl,Kharg Island,Iran,,,159195,"2,005",REPUBLIC OF KOREA,159.195,LR2,crude,tagged,1066657.0,True,True,True,True,True,dark fleet
VIGOR,9262156,VLCC,BOTSWANA,Exited MEG,2026-06-22,Iranian Route,Laden,Crude/Co,2070700,bbl,Kharg Island,Iran,,,299984,"2,004",JAPAN,299.984,VLCC,crude,tagged,2070700.0,True,True,True,False,True,dark fleet
DUBAI ENERGY,9602928,VLCC,LIBERIA,Exited MEG,2026-06-23,Omani Route,Laden,Crude/Co,1963006,bbl,Ras Tanura,Saudi Arabia,Taoyuan,Taiwan,319063,"2,013",REPUBLIC OF KOREA,319.063,VLCC,crude,tagged,1963006.0,False,False,False,False,False,clean fleet
LEGIO X EQUESTRIS,9912256,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-23,Omani Route,Laden,Crude/Co,2060001,bbl,Ras Tanura,Saudi Arabia,Sikka,India,299937,"2,022",REPUBLIC OF KOREA,299.937,VLCC,crude,tagged,2060001.0,False,False,False,False,False,clean fleet
LUCIA A,9228655,Suezmax/LR3,SAN MARINO,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,979996,bbl,Al Basrah,Iraq,Ain Sukhna,Egypt,159997,"2,003",REPUBLIC OF KOREA,159.997,LR2,crude,tagged,979996.0,False,False,False,True,False,clean fleet
MONTE URBASA,9785835,Suezmax/LR3,PORTUGAL,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,999998,bbl,Ras Tanura,Saudi Arabia,Mundra,India,156400,"2,018",SPAIN,156.4,LR2,crude,tagged,999998.0,False,False,False,True,False,clean fleet
STAR LINE,9237618,Aframax/LR2,NICARAGUA,Exited MEG,2026-06-23,Dark/Unknown Route,Laden,Crude/Co,716208,bbl,Kharg Island,Iran,,,105716,"2,003",REPUBLIC OF KOREA,105.716,AFRA,crude,tagged,716208.0,True,True,True,True,True,dark fleet
UNIVERSAL GLORY,9794824,VLCC,LIBERIA,Exited MEG,2026-06-23,Iranian Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Yeosu,South Korea,301123,"2,017",REPUBLIC OF KOREA,301.123,VLCC,crude,tagged,1999996.0,False,False,False,False,False,clean fleet
AL JABRIYAH II,9329708,VLCC,KUWAIT,Exited MEG,2026-06-24,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Kuwait,Kuwait,Sohar Light.,Oman,317570,"2,007",REPUBLIC OF KOREA,317.57,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
BAHRAIN PROSPERITY,9596947,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,1990662,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,1990662.0,False,False,False,False,False,clean fleet
FRONT SHANGHAI,9832262,Suezmax/LR3,HONG KONG,Exited MEG,2026-06-24,Dark/Unknown Route,Laden,Crude/Co,1017754,bbl,Al Basrah,Iraq,Rotterdam,Netherlands,158006,"2,019",REPUBLIC OF KOREA,158.006,LR2,crude,tagged,1017754.0,False,False,False,True,False,clean fleet
PLATA CARRIER,9358280,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,2057944,bbl,Ras Tanura,Saudi Arabia,Paradip,India,307284,"2,008",CHINA,307.284,VLCC,crude,tagged,2057944.0,False,False,False,False,False,clean fleet
PRUDENT WARRIOR,9753545,Suezmax/LR3,GREECE,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,1017710,bbl,Al Basrah,Iraq,Corinth,Greece,149995,"2,017",REPUBLIC OF KOREA,149.995,LR2,crude,tagged,1017710.0,False,False,False,False,False,clean fleet
VL BREEZE,9926738,VLCC,REPUBLIC OF KOREA,Exited MEG,2026-06-24,IMO Route,Laden,Crude/Co,1899994,bbl,Zirku,United Arab Emirates,Daesan,South Korea,319202,"2,022",REPUBLIC OF KOREA,319.202,VLCC,crude,tagged,1899994.0,False,False,False,False,False,clean fleet
VL PRIME,9683685,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,1849997,bbl,Zirku,United Arab Emirates,Singapore,Singapore Republic,319547,"2,015",REPUBLIC OF KOREA,319.547,VLCC,crude,tagged,1849997.0,False,False,False,False,False,clean fleet
MOMBASA B,9739501,VLCC,LIBERIA,Exited MEG,2026-06-24,Omani Route,Laden,Crude/Co,2002701,bbl,Das Island,United Arab Emirates,Fujairah Light.,United Arab Emirates,299392,"2,016",REPUBLIC OF KOREA,299.392,VLCC,crude,tagged,2002701.0,False,False,False,False,False,clean fleet
GRAND BONANZA,9915569,VLCC,PANAMA,Exited MEG,2026-06-25,IMO Route,Laden,Crude/Co,2055000,bbl,Ras Tanura,Saudi Arabia,Ulsan,South Korea,299988,"2,021",REPUBLIC OF KOREA,299.988,VLCC,crude,tagged,2055000.0,False,False,False,False,False,clean fleet
DAR SALWA,9534779,VLCC,KUWAIT,Exited MEG,2026-06-25,Dark/Unknown Route,Laden,Crude/Co,2089393,bbl,Mina Al-Ahmadi,Kuwait,Fujairah Light.,United Arab Emirates,319761,"2,010",REPUBLIC OF KOREA,319.761,VLCC,crude,tagged,2089393.0,False,False,False,True,False,clean fleet
ASIAN PROGRESS VII,9988683,VLCC,SINGAPORE,Exited MEG,2026-06-25,Omani Route,Laden,Crude/Co,2059995,bbl,Ras Tanura,Saudi Arabia,Daesan,South Korea,309000,"2,026",CHINA,309.0,VLCC,crude,tagged,2059995.0,False,False,False,False,False,clean fleet
ALMI HYDRA,9583720,VLCC,LIBERIA,Exited MEG,2026-06-25,Omani Route,Laden,Crude/Co,2000002,bbl,Ras Tanura,Saudi Arabia,Houston,United States,319357,"2,013",REPUBLIC OF KOREA,319.357,VLCC,crude,tagged,2000002.0,False,False,False,False,False,clean fleet
CYPRES,9907445,Suezmax/LR3,BELGIUM,Exited MEG,2026-06-25,Dark/Unknown Route,Laden,Crude/Co,1037209,bbl,Al Basrah,Iraq,Pengerang,Malaysia,158388,"2,022",REPUBLIC OF KOREA,158.388,LR2,crude,tagged,1037209.0,False,False,False,True,False,clean fleet
HAFEET,9928009,VLCC,LIBERIA,Exited MEG,2026-06-25,Dark/Unknown Route,Laden,Crude/Co,1996461,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,crude,tagged,1996461.0,False,False,False,True,False,clean fleet
IMPALAS,9171448,VLCC,SAO TOME AND PRINCIPE,Exited MEG,2026-06-25,Iranian Route,Laden,Crude/Co,2003613,bbl,Kharg Island,Iran,EOPL,,299167,"1,999",REPUBLIC OF KOREA,299.167,VLCC,crude,tagged,2003613.0,True,True,True,False,True,dark fleet
VICTORY ARI,9290919,MR,ANTIGUA AND BARBUDA,Exited MEG,2026-06-25,Dark/Unknown Route,Laden,Crude/Co,326328,bbl,Kharg Island,Iran,,,47120,"2,005",REPUBLIC OF KOREA,47.12,LR1,crude,tagged,326328.0,True,True,True,True,True,dark fleet
MAGIC VICTORIA,9608867,Panamax/LR1,MARSHALL ISLANDS,Exited MEG,2026-06-25,Omani Route,Laden,Crude/Co,249995,bbl,Das Island,United Arab Emirates,Sikka,India,74902,"2,012",JAPAN,74.902,LR1,crude,tagged,249995.0,False,False,False,False,False,clean fleet
STOIC WARRIOR,1028762,Suezmax/LR3,LIBERIA,Exited MEG,2026-06-25,Omani Route,Laden,Crude/Co,1012911,bbl,Al Basrah,Iraq,Corinth,Greece,156885,"2,025",CHINA,156.885,LR2,crude,tagged,1012911.0,False,False,False,False,False,clean fleet
FRONT GANDER,9937098,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-26,Dark/Unknown Route,Laden,Crude/Co,1880005,bbl,Zirku,United Arab Emirates,Yeosu,South Korea,300018,"2,023",REPUBLIC OF KOREA,300.018,VLCC,crude,tagged,1880005.0,False,False,False,True,False,clean fleet
FRONT BEAULY,9937103,VLCC,MARSHALL ISLANDS,Exited MEG,2026-06-26,Dark/Unknown Route,Laden,Crude/Co,1910165,bbl,Das Island,United Arab Emirates,Bataan,Philippines,299994,"2,023",REPUBLIC OF KOREA,299.994,VLCC,crude,tagged,1910165.0,False,False,False,True,False,clean fleet
KIARA M,9285823,VLCC,SAN MARINO,Exited MEG,2026-06-26,Dark/Unknown Route,Laden,Crude/Co,2004374,bbl,Al Basrah,Iraq,Sohar Light.,Oman,319247,"2,004",REPUBLIC OF KOREA,319.247,VLCC,crude,tagged,2004374.0,False,False,False,True,False,clean fleet
TOGO PROSPERITY,9411032,VLCC,LIBERIA,Exited MEG,2026-06-26,Omani Route,Laden,Crude/Co,1900001,bbl,Zirku,United Arab Emirates,Fujairah Light.,United Arab Emirates,318325,"2,010",REPUBLIC OF KOREA,318.325,VLCC,crude,tagged,1900001.0,False,False,False,False,False,clean fleet
